[ 0.0 0.0 0.0],[ 168.7499768971997 168.749976897225 168.74998627219995][ 0.0 0.0 0.0],[ 168.74997689719953 168.74997689722537 168.74998627219972], [1.2384378910064697]
[ 0.8402484455750667 0.0 0.0],[ 168.7499768971997 168.749976897225 168.74998627219995][ 0.1937332642566705 0.0 0.0],[ 168.74997689719953 168.74997689722537 168.74998627219972], [2.1258246898651123]
[ 0.42843844395092595 0.0 0.0],[ 168.985756043319 168.8851674636067 168.88517684642326][ 0.0 0.0 0.0],[ 168.8110085786276 168.781591923054 168.78160129982714], [2.2174363136291504]
[ 0.3754759891357163 0.0 0.0],[ 169.09777022771803 168.89997677743767 168.89998616200467][ 0.0 0.0 0.0],[ 168.79532476869952 168.7783808154764 168.77839019218965], [2.311678409576416]
[ 0.431410573768265 0.0 0.0],[ 169.18151918758585 168.89303188333008 168.89304126752][ 0.0 0.0 0.0],[ 168.78607972449777 168.773737018393 168.77374639454797], [2.4157676696777344]
[ 0.4937463253612155 0.0 0.0],[ 169.27064967618523 168.89113949540928 168.89114887704412][ 0.0 0.0 0.0],[ 168.77907772406934 168.77013531743742 168.77014469264887], [2.525625705718994]
[ 0.5421527508933452 0.0 0.0],[ 169.36572992286366 168.89454345268751 168.8945528284106][ 0.018528210024547426 0.0 0.0],[ 168.77380982332863 168.7674958338157 168.7675052075998], [2.613693952560425]
[ 0.5905398161608542 0.0 0.0],[ 169.4606554856643 168.8999907239075 168.90000008948755][ 0.04839178202563444 0.0 0.0],[ 168.7785827677547 168.76692985405052 168.7669392257271], [2.718456506729126]
[ 0.6418028923608121 0.0 0.0],[ 169.55454988326613 168.9073494608159 168.90735881120202][ 0.08202398937744433 0.0 0.0],[ 168.79598988403896 168.768835866426 168.76884523528025], [2.8066158294677734]
[ 0.6924879141702399 0.0 0.0],[ 169.64806545333497 168.91682827148887 168.91683760085633][ 0.1186162671451357 0.0 0.0],[ 168.8244883785939 168.77292919445821 168.77293855991044], [2.9051554203033447]
[ 0.7417061743532758 0.0 0.0],[ 169.74096482939072 168.92791176634535 168.9279210682997][ 0.15837500528603402 0.0 0.0],[ 168.862642364131 168.77888485569054 168.77889421743822], [3.0034573078155518]
[ 0.7894369793133923 0.0 0.0],[ 169.8328335639246 168.94004425504633 168.94005352261098][ 0.20151399783289586 0.0 0.0],[ 168.9094874874442 168.78646296033455 168.78647231844596], [3.100876808166504]
[ 0.8358922136975728 0.0 0.0],[ 169.92333471503278 168.9528099133062 168.95281913876028][ 0.24799206946268532 0.0 0.0],[ 168.96439734599628 168.79550278834583 168.7955121433064], [3.2068583965301514]
[ 0.8813449383106212 0.0 0.0],[ 170.0122666133444 168.96593496367296 168.96594413833137][ 0.29749816696609643 0.0 0.0],[ 169.02687902769 168.8058847975874 168.8058941503189], [3.2946949005126953]
[ 0.9260956340772984 0.0 0.0],[ 170.09956489483747 168.97925445746424 168.9792635714336][ 0.34948203426464564 0.0 0.0],[ 169.0964159583501 168.81749807333028 168.81750742516672], [3.3794031143188477]
