[1.11022302e-14 0.00000000e+00 5.00000000e+01], [1.2385478019714355]
[ 8.92056031e-02 -2.65487035e-09  5.00498397e+01], [2.125869035720825]
[ 2.27427270e-01 -6.31655231e-09  5.00631962e+01], [2.217491865158081]
[ 3.69240919e-01 -9.49195887e-09  5.00689582e+01], [2.3116133213043213]
[ 5.09424221e-01 -1.31671847e-08  5.00757535e+01], [2.415863275527954]
[ 6.47968626e-01 -1.87676554e-08  5.00836968e+01], [2.525660753250122]
[ 7.82262628e-01 -2.76050213e-08  5.00916165e+01], [2.613558053970337]
[ 9.11128725e-01 -4.06541868e-08  5.00994699e+01], [2.718466281890869]
[ 1.03506071e+00 -5.86316047e-08  5.01074003e+01], [2.8066768646240234]
[ 1.15475627e+00 -8.19550920e-08  5.01153084e+01], [2.904982805252075]
[ 1.27073791e+00 -1.10657716e-07  5.01230663e+01], [3.003392457962036]
[ 1.38335470e+00 -1.44335349e-07  5.01305803e+01], [3.1008737087249756]
[ 1.49286430e+00 -1.82142088e-07  5.01377968e+01], [3.20694899559021]
[ 1.59950663e+00 -2.22824079e-07  5.01446938e+01], [3.2946956157684326]
[ 1.70355498e+00 -2.64776379e-07  5.01512726e+01], [3.379347801208496]
